osm_id;addr_stree;addr_house;name;wheelchair;operator;school_fr;ref_uai;ref;fee;capacity;building;amenity;operator_t;osm_user;osm_timest;tags;objectid;nb_carte_scol
427775821;NA;NA;École élémentaire Jules Verne;yes;NA;primaire;0342196C;NA;NA;NA;NA;school;public;NA;2019-06-23T15:15:40Z;"""name""=>""École élémentaire Jules Verne"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0342196C"", ""osm_user""=>"""", ""way_area""=>""1506.41"", ""school:FR""=>""primaire"", ""wheelchair""=>""yes"", ""description""=>""canton 3 circonscription 2"", ""osm_version""=>""4"", ""co";1868;1
427781317;NA;NA;École élémentaire Condorcet;NA;NA;élémentaire;0340470B;NA;NA;NA;NA;school;public;NA;2017-03-28T14:22:05Z;"""name""=>""École élémentaire Condorcet"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0340470B"", ""osm_user""=>"""", ""way_area""=>""1699.51"", ""school:FR""=>""élémentaire"", ""description""=>""canton 6 circonscription 3"", ""osm_version""=>""3"", ""contact:phone""=>""+33 4";1869;1
27817529;NA;NA;École élémentaire Marie de Sévigné;NA;NA;élémentaire;0340503M;NA;NA;NA;NA;school;public;NA;2022-09-07T12:52:12Z;"""name""=>""École élémentaire Marie de Sévigné"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0340503M"", ""osm_user""=>"""", ""way_area""=>""1506.76"", ""school:FR""=>""élémentaire"", ""description""=>""canton 5 circonscription 2"", ""osm_version""=>""7"", ""contact:phone""=";1870;1
427800267;NA;NA;École élémentaire Jeanne d'Arc;NA;NA;primaire;0340474F;NA;NA;NA;NA;school;public;NA;2021-03-06T15:12:05Z;"""name""=>""École élémentaire Jeanne d'Arc"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0340474F"", ""osm_user""=>"""", ""way_area""=>""650.762"", ""school:FR""=>""primaire"", ""description""=>""canton 5 circonscription 2"", ""osm_version""=>""3"", ""contact:phone""=>""+33 4";1871;2
888048167;NA;NA;École privée Sainte-Jeanne d'Arc;NA;NA;primaire;0341193M;NA;NA;NA;NA;school;private;NA;2022-05-12T18:09:37Z;"""name""=>""École privée Sainte-Jeanne d'Arc"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0341193M"", ""osm_user""=>"""", ""way_area""=>""1258.71"", ""school:FR""=>""primaire"", ""osm_version""=>""3"", ""operator:type""=>""private"", ""osm_changeset""=>""0"", ""osm_timestamp""=";1871;2
408248431;NA;NA;École élémentaire Charles Daviler;NA;NA;élémentaire;0340471C;NA;NA;NA;NA;school;public;NA;2020-04-14T08:19:24Z;"""name""=>""École élémentaire Charles Daviler"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0340471C"", ""osm_user""=>"""", ""way_area""=>""2595.03"", ""school:FR""=>""élémentaire"", ""description""=>""écoles d'application de l'ESPE"", ""osm_version""=>""4"", ""contact:phon";1872;1
292374512;NA;NA;École primaire Chengdu;NA;NA;primaire;0342315G;NA;NA;NA;yes;school;public;NA;2020-04-13T17:39:48Z;"""name""=>""École primaire Chengdu"", ""phone""=>""+334677226420"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0342315G"", ""building""=>""yes"", ""osm_user""=>"""", ""way_area""=>""2012.61"", ""school:FR""=>""primaire"", ""description""=>""canton 3 circonscription 9"", ""osm_v";1873;1
427774459;NA;NA;École élémentaire Sigmund Freud;NA;NA;élémentaire;0341879H;NA;NA;NA;NA;school;public;NA;2019-10-08T12:37:09Z;"""name""=>""École élémentaire Sigmund Freud"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0341879H"", ""osm_user""=>"""", ""way_area""=>""6538.79"", ""school:FR""=>""élémentaire"", ""description""=>""canton 6 circonscription 2"", ""osm_version""=>""5"", ""contact:phone""=>""+";1874;1
427603759;NA;NA;École élémentaire Julie Daubié;NA;NA;élémentaire;0341849A;NA;NA;NA;NA;school;public;NA;2019-01-28T01:23:54Z;"""name""=>""École élémentaire Julie Daubié"", ""phone""=>""+33467630126"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0341849A"", ""osm_user""=>"""", ""way_area""=>""3718.4"", ""school:FR""=>""élémentaire"", ""description""=>""canton 1 circonscription 2"", ""osm_version""=>""";1875;1
32389302;NA;NA;École élémentaire Berthe Morisot;NA;NA;élémentaire;0341115C;NA;NA;NA;NA;school;public;NA;2017-03-23T15:24:17Z;"""name""=>""École élémentaire Berthe Morisot"", ""phone""=>""+33467630337"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0341115C"", ""loc_name""=>""Berthe Morisot"", ""osm_user""=>"""", ""way_area""=>""2781.1"", ""school:FR""=>""élémentaire"", ""description""=>""canton 2 circ";1876;1
