objectid,id_centrale,code_centrale,annee,libelle_groupage,type_compteur,type_comptage,nb_canaux,nb_annee,code_canal,mja_jo,mja_tcj,mja_pl_tcj,hp_johvs_matin,hp_johvs_soir,tir_tcj,v85ma_tcj,vtma_tcj,descriptif_periode,time_days,name,oneway,ref_mmm,highway,nom_commune,cycles,osm_id
4690,1528,100217,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,749,595,0,,,,,,du 10/01/2023 au 17/01/2023,7,Rue du Monte Cinto,UNKNOWN, ,residential,Montpellier, ,230910009
4688,1528,100217,2023,Monte Cinto_Espinouse,compteur ponctuel,comptage bidirectionnel,3,2,0,394,309,0,46 (11h30 - 12h30),82 (16h30 - 17h30),49,39,26,du 10/01/2023 au 17/01/2023,7,Rue du Monte Cinto,UNKNOWN, ,residential,Montpellier, ,230910009
4689,1528,100217,2023,Espinouse_Monte Cinto,compteur ponctuel,comptage bidirectionnel,3,2,1,355,286,0,77 (8h00 - 9h00),41 (12h45 - 13h45),58,41,29,du 10/01/2023 au 17/01/2023,7,Rue du Monte Cinto,UNKNOWN, ,residential,Montpellier, ,230910009
340,972,100457,2023,Sens cumulés,compteur feux,comptage bidirectionnel,3,8,Z,724,645,,,,,,,du 01/01/2023 au 12/02/2023,42,Boulevard de Strasbourg,YES, ,secondary,Montpellier,Bande cyclable droite,370743659
339,972,100457,2023,Palavas_Comte Melgueil,compteur feux,comptage bidirectionnel,3,8,1,364,324,,37 (8h00 - 9h00),28 (17h00 - 18h00),,,,du 01/01/2023 au 19/02/2023,49,Boulevard de Strasbourg,YES, ,secondary,Montpellier,Bande cyclable droite,370743659
338,972,100457,2023,Comte Melgueil_Palavas,compteur feux,comptage bidirectionnel,3,8,0,360,321,,37 (8h00 - 9h00),28 (17h00 - 18h00),,,,du 01/01/2023 au 12/02/2023,42,Boulevard de Strasbourg,YES, ,secondary,Montpellier,Bande cyclable droite,370743659
5036,9,102511,2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,11,Z,29600,28085,885,,,,,,du 01/01/2023 au 20/02/2023,50, ,YES, ,primary,Lattes, ,367587403
5035,9,102511,2023,Lattes_Montpellier,compteur permanent,comptage bidirectionnel,3,11,1,16680,15690,518,1375 (8h00 - 9h00),1593 (17h00 - 18h00),18,94,81,du 01/01/2023 au 20/02/2023,50, ,YES, ,primary,Lattes, ,367587403
5034,9,102511,2023,Montpellier_Lattes,compteur permanent,comptage bidirectionnel,3,11,0,12920,12395,367,1383 (8h00 - 9h00),1050 (17h00 - 18h00),19,95,81,du 01/01/2023 au 20/02/2023,50, ,YES, ,primary,Lattes, ,367587403
4055,30,10290,2023,Saint Priest_Cardonille,compteur feux,comptage unidirectionnel,1,8,0,17621,15774,,1432 (8h00 - 9h00),1288 (18h00 - 19h00),,,,du 01/01/2023 au 19/02/2023,49,Avenue des Moulins,YES, ,primary,Montpellier, ,22953339
1213,809,10316,2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,7,Z,16617,15485,,,,,,,du 01/01/2023 au 21/02/2023,51,Avenue Henri Marès,UNKNOWN, ,primary,Montpellier,Bande cyclable,36965216
1212,809,10316,2023,Circe_Cinsaults,compteur permanent,comptage bidirectionnel,3,7,w,8383,7737,,608 (7h00 - 8h00),530 (18h00 - 19h00),,,,du 01/01/2023 au 21/02/2023,51,Avenue Henri Marès,UNKNOWN, ,primary,Montpellier,Bande cyclable,36965216
1211,809,10316,2023,Cinsaults_Circe,compteur permanent,comptage bidirectionnel,3,7,v,8234,7748,,511 (12h00 - 13h00),549 (16h00 - 17h00),,,,du 01/01/2023 au 21/02/2023,51,Avenue Henri Marès,UNKNOWN, ,primary,Montpellier,Bande cyclable,36965216
1940,864,104845,2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,8,Z,47834,44873,,,,,,,du 09/01/2023 au 21/02/2023,43,Avenue de la Liberté,UNKNOWN, ,primary,Montpellier, ,330503036
1938,864,104845,2023,Grezes_Garrats,compteur permanent,comptage bidirectionnel,3,8,0,25057,23387,,1667 (10h00 - 11h00),1878 (14h00 - 15h00),,26,15,du 09/01/2023 au 21/02/2023,43,Avenue de la Liberté,UNKNOWN, ,primary,Montpellier, ,330503036
1939,864,104845,2023,Garrats_Grezes,compteur permanent,comptage bidirectionnel,3,8,1,22777,21486,,1365 (10h00 - 11h00),1757 (14h00 - 15h00),44,59,45,du 09/01/2023 au 21/02/2023,43,Avenue de la Liberté,UNKNOWN, ,primary,Montpellier, ,330503036
4874,930,105451,2023,Pont Levy_Pont Trinquat,compteur ponctuel,comptage unidirectionnel,1,6,0,22911,21430,,1357 (10h00 - 11h00),1769 (14h00 - 15h00),,,,du 09/01/2023 au 16/02/2023,38,Rue des Acconiers,UNKNOWN, ,tertiary,Montpellier, ,363231196
5147,13,109625,2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,11,Z,36504,33186,866,,,,,,du 01/01/2023 au 21/02/2023,51,Route de Ganges,YES, ,primary,Montpellier, ,221392846
5145,13,109625,2023,6300.00 1,compteur permanent,comptage bidirectionnel,3,11,0,18647,16988,474,2082 (7h00 - 8h00),1205 (13h00 - 14h00),25,99,83,du 01/01/2023 au 21/02/2023,51,Route de Ganges,YES, ,primary,Montpellier, ,221392846
5146,13,109625,2023,6300.00 2,compteur permanent,comptage bidirectionnel,3,11,1,17857,16198,392,1191 (12h00 - 13h00),2115 (17h00 - 18h00),24,98,82,du 01/01/2023 au 21/02/2023,51,Route de Ganges,YES, ,primary,Montpellier, ,221392846
899,1815,110400,2023,Sens cumulés,compteur permanent vélo,comptage bidirectionnel,3,3,Z,745,955,,,,,,,du 01/01/2023 au 21/02/2023,51, ,UNKNOWN, ,path,Lattes,Voie verte et assimilé,253757735
898,1815,110400,2023,Velos sens 2,compteur permanent vélo,comptage bidirectionnel,3,3,w,379,491,,33 (10h00 - 11h00),43 (17h00 - 18h00),,,,du 01/01/2023 au 21/02/2023,51, ,UNKNOWN, ,path,Lattes,Voie verte et assimilé,253757735
897,1815,110400,2023,Velos sens 1,compteur permanent vélo,comptage bidirectionnel,3,3,v,367,464,,49 (8h00 - 9h00),43 (17h00 - 18h00),,,,du 01/01/2023 au 21/02/2023,51, ,UNKNOWN, ,path,Lattes,Voie verte et assimilé,253757735
3222,985,111970,2023,Michel_Vieussens,compteur feux,comptage unidirectionnel,1,7,0,7484,7249,,477 (8h00 - 9h00),482 (14h00 - 15h00),,,,du 01/01/2023 au 19/02/2023,49,Boulevard Berthelot,NO, ,secondary,Montpellier, ,284243055
5258,995,114143,2023,Alco_Bringuier,compteur feux,comptage unidirectionnel,1,7,0,3292,3027,,249 (9h00 - 10h00),227 (16h00 - 17h00),,,,du 01/01/2023 au 19/02/2023,49,Avenue de Lodève,NO, ,secondary,Montpellier, ,330997201
