highway;other_tags;ame_d;ame_g
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""ref:MMM""=>""2010/NT/R/DGU-P393"",""surface""=>""concrete""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""description""=>""2010/NT/R/DGU-P488"",""foot""=>""designated"",""layer""=>""1"",""lit""=>""yes"",""motor_vehicle""=>""no"",""segregated""=>""no"",""smoothness""=>""excellent"",""surface""=>""fine_gravel""";VOIE VERTE;VOIE VERTE
secondary;"""cycleway""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lanes:forward""=>""2"",""maxspeed""=>""30""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""bridge""=>""yes"",""cycleway""=>""track"",""description:covid19""=>""Piste cyclable temporaire"",""lanes""=>""2"",""lanes:backward""=>""2"",""layer""=>""1"",""maxspeed""=>""50"",""surface""=>""asphalt"",""was:lanes""=>""3""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lanes:bus""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes""";COULOIR BUS+VELO;AUCUN
tertiary;"""cyclability""=>""acceptable"",""cycleway:left""=>""no"",""cycleway:right""=>""no"",""lane_markings""=>""no"",""lit""=>""yes"",""maxspeed""=>""30"",""parking:lane:left""=>""diagonal"",""parking:lane:right""=>""parallel"",""sidewalk""=>""left"",""sidewalk:left:bicycle""=>""yes"",""surface""=>""asphalt""";AUCUN;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""bridge""=>""yes"",""cycleway:both""=>""lane"",""lanes""=>""2"",""layer""=>""1"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway:right""=>""track"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""no"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""left"",""smoothness""=>""good"",""source:maxspeed""=>""sign"",""source:width""=>""ARCore"",""surface""=>""asphalt"",""width""=>""3.3""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""junction""=>""roundabout"",""lane_markings""=>""no"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
